Which%20is%20the%20world%27s%20longest%20river%3F,Nile
The%20derisive%20acronym%20%22PIIGS%22%20refers%20to%20which%20of%20the%20following%20European%20countries%20and%20their%20economic%20statuses%3F,Portugal%2C%20Ireland%2C%20Italy%2C%20Greece%2C%20Spain
Which%20of%20these%20countries%20is%20NOT%20a%20part%20of%20the%20Asian%20continent%3F,Suriname
What%20is%20the%20capital%20of%20Spain%3F,Madrid
What%20is%20the%20name%20of%20the%20peninsula%20containing%20Spain%20and%20Portugal%3F,Iberian%20Peninsula
What%20country%20is%20the%20second%20largest%20in%20the%20world%20by%20area%3F,Canada
What%20is%20the%20largest%20country%20in%20the%20world%20%3F,Russian%20Federation
Which%20of%20the%20following%20is%20the%20longest%20river%20in%20Europe%3F,Volga
The%20Gambia%20is%20a%20nation%20found%20on%20which%20continent%3F,Africa
Harvard%20University%20is%20located%20in%20which%20city%3F,Cambridge
What%20is%20the%20smallest%20country%20in%20the%20world%3F,Vatican%20City
Which%20of%20the%20following%20Japanese%20islands%20is%20the%20biggest%3F,Honshu
The%20land%20mass%20of%20modern%20day%20Turkey%20is%20called%20what%3F,Anatolia
Which%20country%20is%20completely%20landlocked%20by%20South%20Africa%3F,Lesotho
What%20continent%20is%20the%20country%20Lesotho%20in%3F,Africa
What%20was%20the%20most%20populous%20city%20in%20the%20Americas%20in%202015%3F,S%C3%A3o%20Paulo
Gothenburg%20is%20the%20capital%20of%20Sweden.,False
%20What%20Texas%20city%20is%20nicknamed%20%22The%20Yellow%20Rose%20of%20Texas%22%3F,Amarillo
Which%20of%20these%20American%20cities%20has%20fewer%20than%201%2C000%2C000%20people%3F,San%20Francisco%2C%20California
Bridgetown%20is%20the%20capital%20of%20which%20island%20country%20in%20the%20Carribean%3F,Barbados
In%20which%20English%20county%20is%20the%20city%20of%20Portsmouth%3F,Hampshire
Which%20state%20of%20the%20United%20States%20is%20the%20smallest%3F,Rhode%20Island%20
California%20is%20larger%20than%20Japan.,True
What%20is%20the%20name%20of%20the%20ocean%20that%20Hawaii%20is%20located%20in%3F,Pacific
Where%20is%20the%20world%27s%20oldest%20still%20operational%20space%20launch%20facility%20located%3F,Kazakhstan
What%20is%20the%20capital%20of%20Jamaica%3F,Kingston
Which%20of%20these%20is%20NOT%20a%20city%20in%20Saudi%20Arabia%3F,Dubai
Which%20of%20these%20is%20NOT%20a%20province%20in%20China%3F,Yangtze
How%20many%20countries%20are%20larger%20than%20Australia%3F,5
The%20following%20Spanish%20provinces%20are%20located%20in%20the%20northern%20area%20of%20Spain%20except%3A,Murcia
What%20was%20the%20original%20name%20of%20Ho%20Chi%20Minh%20City%3F,Saigon
Which%20of%20the%20following%20is%20a%20castle%3F,Elizabeth%20Castle
Antarctica%20is%20the%20largest%20desert%20in%20the%20world.,True
What%20is%20the%20largest%20country%20in%20the%20world%3F,Russia
Which%20small%20country%20is%20located%20between%20the%20borders%20of%20France%20and%20Spain%3F,Andorra
How%20many%20countries%20border%20Kyrgyzstan%3F,4
Which%20of%20the%20following%20Inuit%20languages%20was%20the%20FIRST%20to%20use%20a%20unique%20writing%20system%20not%20based%20on%20the%20Latin%20alphabet%3F,Inuktitut
On%20which%20continent%20is%20the%20country%20of%20Angola%20located%3F,Africa
The%20Maluku%20islands%20%28informally%20known%20as%20the%20Spice%20Islands%29%20belong%20to%20which%20country%3F,Indonesia
The%20Space%20Needle%20is%20located%20in%20which%20city%3F,Seattle
New%20Haven%20is%20the%20capital%20city%20of%20the%20state%20of%20Connecticut%20in%20the%20United%20States.,False
Which%20of%20these%20places%20is%20a%20location%20in%20Cornwall%3F,Barcelona
What%20year%20is%20on%20the%20flag%20of%20the%20US%20state%20Wisconsin%3F,1848
What%20is%20the%20only%20state%20in%20the%20United%20States%20that%20does%20not%20have%20a%20flag%20in%20a%20shape%20with%204%20edges%3F,Ohio
South%20Africa%20has%20more%20than%20one%20capital%20city,True
Which%20of%20the%20following%20is%20NOT%20a%20capital%20city%3F,Sydney
Which%20of%20these%20countries%20is%20%22doubly%20landlocked%22%20%28surrounded%20entirely%20by%20one%20or%20more%20landlocked%20countries%29%3F,Uzbekistan
Which%20country%20is%20the%20Taedong%20River%20in%3F,North%20Korea
Where%20was%20the%20ancient%20city%20of%20Pompeii%3F,Italy
How%20many%20stations%20does%20the%20Central%20Line%20have%20on%20the%20London%20Underground%3F,49
What%20is%20the%20name%20of%20the%20only%20remaining%20Grand%20Duchy%20in%20the%20world%20%3F,Luxembourg
The%20longest%20shared%20border%20in%20the%20world%20can%20be%20found%20between%20which%20two%20nations%3F,Canada%20and%20the%20United%20States
What%20is%20the%2015th%20letter%20of%20the%20Greek%20alphabet%3F,Omicron%20%28%CE%9F%29
Which%20country%20features%20a%20maple%20leaf%20on%20its%20flag%3F,Canada
What%20is%20the%20capital%20of%20Peru%3F,Lima
What%20is%20the%20northernmost%20human%20settlement%20with%20year%20round%20inhabitants%3F,Alert%2C%20Canada
Which%20country%20does%20Austria%20not%20border%3F,France
Where%20is%20Timbuktu%20located%3F,Mali%2C%20Africa
Which%20of%20these%20island%20countries%20is%20located%20in%20the%20Caribbean%3F,Barbados
Which%20of%20these%20is%20an%20official%20currency%20of%20the%20Cook%20Islands%3F,New%20Zealand%20Dollar
What%20is%20the%20name%20of%20the%20capital%20of%20Turkey%3F,Ankara
San%20Marino%20is%20the%20only%20country%20completely%20surrounded%20by%20another%20country.,False
What%20is%20the%20longest%20river%20in%20Europe%3F,Volga
Which%20Borough%20is%20the%20farthest%20in%20the%20north%20of%20New%20York%20City%3F,Bronx
Africa%20is%20a%20country.,False
Alaska%20and%20Hawaii%20are%20the%20only%20US%20states%20that%20have%20their%20own%20timezones.,True
Which%20country%20has%20the%20abbreviation%20%22CH%22%3F,Switzerland
What%20is%20the%20official%20language%20in%20Liechtenstein%3F,German
The%20Japanese%20district%20Akihabara%20is%20also%20known%20by%20what%20nickname%3F,Electric%20Town
Which%20UK%20country%20features%20a%20dragon%20on%20their%20flag%3F,Wales
Where%20are%20the%20Nazca%20Lines%20located%3F,Peru
In%20the%20Canadian%20province%20of%20Alberta%2C%20the%20city%20of%20Calgary%20is%20located%20further%20north%20than%20the%20city%20of%20Edmonton.,False
Norway%20has%20a%20larger%20land%20area%20than%20Sweden.,False
